10	0	.editorconfig
4	0	.gitattributes
1	3	CONTRIBUTING.md => .github/CONTRIBUTING.md
12	0	.github/ISSUE_TEMPLATE.md
7	0	.github/dependabot.yaml
95	0	.github/workflows/build.yml
5	18	.gitignore
0	8	.travis.yml
10	0	BUG-BOUNTY.md
662	0	CHANGELOG.md
19	11	README.md
15	0	RELEASING.md
131	0	build.gradle
0	122	checkstyle.xml
36	0	deploy_website.sh
20	0	gradle.properties
65	0	gradle/libs.versions.toml
-	-	gradle/wrapper/gradle-wrapper.jar
6	0	gradle/wrapper/gradle-wrapper.properties
244	0	gradlew
92	0	gradlew.bat
0	176	pom.xml
14	0	retrofit-adapters/README.md
50	0	retrofit-adapters/guava/README.md
19	0	retrofit-adapters/guava/build.gradle
3	0	retrofit-adapters/guava/gradle.properties
181	0	retrofit-adapters/guava/src/main/java/retrofit2/adapter/guava/GuavaCallAdapterFactory.java
9	12	retrofit/src/main/java/retrofit/http/RestMethod.java => retrofit-adapters/guava/src/main/java/retrofit2/adapter/guava/HttpException.java
2	0	retrofit-adapters/guava/src/main/java/retrofit2/adapter/guava/package-info.java
2	0	retrofit-adapters/guava/src/main/resources/META-INF/proguard/retrofit2-guava-adapter.pro
109	0	retrofit-adapters/guava/src/test/java/retrofit2/adapter/guava/GuavaCallAdapterFactoryTest.java
127	0	retrofit-adapters/guava/src/test/java/retrofit2/adapter/guava/ListenableFutureTest.java
41	0	retrofit-adapters/guava/src/test/java/retrofit2/adapter/guava/StringConverterFactory.java
10	0	retrofit-adapters/java8/README.md
18	0	retrofit-adapters/java8/build.gradle
3	0	retrofit-adapters/java8/gradle.properties
8	12	retrofit/src/main/java/retrofit/android/MainThreadExecutor.java => retrofit-adapters/java8/src/main/java/retrofit2/adapter/java8/HttpException.java
175	0	retrofit-adapters/java8/src/main/java/retrofit2/adapter/java8/Java8CallAdapterFactory.java
2	0	retrofit-adapters/java8/src/main/java/retrofit2/adapter/java8/package-info.java
127	0	retrofit-adapters/java8/src/test/java/retrofit2/adapter/java8/CompletableFutureTest.java
109	0	retrofit-adapters/java8/src/test/java/retrofit2/adapter/java8/Java8CallAdapterFactoryTest.java
41	0	retrofit-adapters/java8/src/test/java/retrofit2/adapter/java8/StringConverterFactory.java
63	0	retrofit-adapters/rxjava/README.md
19	0	retrofit-adapters/rxjava/build.gradle
3	0	retrofit-adapters/rxjava/gradle.properties
93	0	retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/BodyOnSubscribe.java
176	0	retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/CallArbiter.java
